date,repository,site,plugins
2024-05-24,extra,git.sr.ht,5
2024-05-24,extra,github.com,552
2024-05-24,extra,gitlab.com,2
2024-05-24,extra,total,561
2024-05-24,nixpkgs,git.sr.ht,3
2024-05-24,nixpkgs,github.com,1437
2024-05-24,nixpkgs,gitlab.com,2
2024-05-24,nixpkgs,total,1442
2024-05-25,awesome-neovim,codeberg.org,2
2024-05-25,awesome-neovim,git.sr.ht,6
2024-05-25,awesome-neovim,github.com,858
2024-05-25,awesome-neovim,gitlab.com,2
2024-05-25,awesome-neovim,total,868
2024-05-25,extra,codeberg.org,2
2024-05-25,extra,git.sr.ht,5
2024-05-25,extra,github.com,553
2024-05-25,extra,gitlab.com,2
2024-05-25,extra,total,562
2024-05-25,nixpkgs,git.sr.ht,3
2024-05-25,nixpkgs,github.com,1438
2024-05-25,nixpkgs,gitlab.com,2
2024-05-25,nixpkgs,total,1443
2024-05-26,awesome-neovim,codeberg.org,2
2024-05-26,awesome-neovim,git.sr.ht,6
2024-05-26,awesome-neovim,github.com,858
2024-05-26,awesome-neovim,gitlab.com,2
2024-05-26,awesome-neovim,total,868
2024-05-26,extra,codeberg.org,2
2024-05-26,extra,git.sr.ht,5
2024-05-26,extra,github.com,553
2024-05-26,extra,gitlab.com,2
2024-05-26,extra,total,562
2024-05-26,nixpkgs,git.sr.ht,3
2024-05-26,nixpkgs,github.com,1438
2024-05-26,nixpkgs,gitlab.com,2
2024-05-26,nixpkgs,total,1443
