date,repository,site,plugins
2024-04-15,extra,total,545
2024-04-15,nixpkgs,git.sr.ht,3
2024-04-15,nixpkgs,github.com,1424
2024-04-15,nixpkgs,gitlab.com,2
2024-04-15,nixpkgs,total,1429
2024-04-16,awesome-neovim,codeberg.org,2
2024-04-16,awesome-neovim,git.sr.ht,6
2024-04-16,awesome-neovim,github.com,838
2024-04-16,awesome-neovim,gitlab.com,2
2024-04-16,awesome-neovim,total,848
2024-04-16,extra,codeberg.org,2
2024-04-16,extra,git.sr.ht,5
2024-04-16,extra,github.com,536
2024-04-16,extra,gitlab.com,2
2024-04-16,extra,total,545
2024-04-16,nixpkgs,git.sr.ht,3
2024-04-16,nixpkgs,github.com,1424
2024-04-16,nixpkgs,gitlab.com,2
2024-04-16,nixpkgs,total,1429
2024-04-17,awesome-neovim,codeberg.org,2
2024-04-17,awesome-neovim,git.sr.ht,6
2024-04-17,awesome-neovim,github.com,838
2024-04-17,awesome-neovim,gitlab.com,2
2024-04-17,awesome-neovim,total,848
2024-04-17,extra,codeberg.org,2
2024-04-17,extra,git.sr.ht,5
2024-04-17,extra,github.com,536
2024-04-17,extra,gitlab.com,2
2024-04-17,extra,total,545
2024-04-17,nixpkgs,git.sr.ht,3
2024-04-17,nixpkgs,github.com,1424
2024-04-17,nixpkgs,gitlab.com,2
2024-04-17,nixpkgs,total,1429
2024-04-18,awesome-neovim,codeberg.org,2
2024-04-18,awesome-neovim,git.sr.ht,6
2024-04-18,awesome-neovim,github.com,838
2024-04-18,awesome-neovim,gitlab.com,2
2024-04-18,awesome-neovim,total,848
2024-04-18,extra,codeberg.org,2
2024-04-18,extra,git.sr.ht,5
2024-04-18,extra,github.com,536
2024-04-18,extra,gitlab.com,2
2024-04-18,extra,total,545
2024-04-18,nixpkgs,git.sr.ht,3
2024-04-18,nixpkgs,github.com,1425
2024-04-18,nixpkgs,gitlab.com,2
2024-04-18,nixpkgs,total,1430
2024-04-19,awesome-neovim,codeberg.org,2
2024-04-19,awesome-neovim,git.sr.ht,6
2024-04-19,awesome-neovim,github.com,838
2024-04-19,awesome-neovim,gitlab.com,2
2024-04-19,awesome-neovim,total,848
2024-04-19,extra,codeberg.org,2
2024-04-19,extra,git.sr.ht,5
2024-04-19,extra,github.com,536
2024-04-19,extra,gitlab.com,2
2024-04-19,extra,total,545
2024-04-19,nixpkgs,git.sr.ht,3
2024-04-19,nixpkgs,github.com,1426
2024-04-19,nixpkgs,gitlab.com,2
2024-04-19,nixpkgs,total,1431
2024-04-20,awesome-neovim,codeberg.org,2
2024-04-20,awesome-neovim,git.sr.ht,6
2024-04-20,awesome-neovim,github.com,838
2024-04-20,awesome-neovim,gitlab.com,2
2024-04-20,awesome-neovim,total,848
2024-04-20,extra,codeberg.org,2
2024-04-20,extra,git.sr.ht,5
2024-04-20,extra,github.com,536
2024-04-20,extra,gitlab.com,2
2024-04-20,extra,total,545
2024-04-20,nixpkgs,git.sr.ht,3
2024-04-20,nixpkgs,github.com,1427
2024-04-20,nixpkgs,gitlab.com,2
2024-04-20,nixpkgs,total,1432
2024-04-21,awesome-neovim,codeberg.org,2
2024-04-21,awesome-neovim,git.sr.ht,6
2024-04-21,awesome-neovim,github.com,838
2024-04-21,awesome-neovim,gitlab.com,2
2024-04-21,awesome-neovim,total,848
2024-04-21,extra,codeberg.org,2
2024-04-21,extra,git.sr.ht,5
2024-04-21,extra,github.com,536
2024-04-21,extra,gitlab.com,2
2024-04-21,extra,total,545
2024-04-21,nixpkgs,git.sr.ht,3
2024-04-21,nixpkgs,github.com,1427
2024-04-21,nixpkgs,gitlab.com,2
2024-04-21,nixpkgs,total,1432
2024-04-22,awesome-neovim,codeberg.org,2
2024-04-22,awesome-neovim,git.sr.ht,6
2024-04-22,awesome-neovim,github.com,840
2024-04-22,awesome-neovim,gitlab.com,2
2024-04-22,awesome-neovim,total,850
2024-04-22,extra,codeberg.org,2
2024-04-22,extra,git.sr.ht,5
2024-04-22,extra,github.com,538
2024-04-22,extra,gitlab.com,2
2024-04-22,extra,total,547
2024-04-22,nixpkgs,git.sr.ht,3
2024-04-22,nixpkgs,github.com,1428
2024-04-22,nixpkgs,gitlab.com,2
2024-04-22,nixpkgs,total,1433
2024-04-23,awesome-neovim,codeberg.org,2
2024-04-23,awesome-neovim,git.sr.ht,6
2024-04-23,awesome-neovim,github.com,840
2024-04-23,awesome-neovim,gitlab.com,2
2024-04-23,awesome-neovim,total,850
2024-04-23,extra,codeberg.org,2
2024-04-23,extra,git.sr.ht,5
2024-04-23,extra,github.com,537
2024-04-23,extra,gitlab.com,2
2024-04-23,extra,total,546
2024-04-23,nixpkgs,git.sr.ht,3
2024-04-23,nixpkgs,github.com,1429
2024-04-23,nixpkgs,gitlab.com,2
2024-04-23,nixpkgs,total,1434
2024-04-24,awesome-neovim,codeberg.org,2
2024-04-24,awesome-neovim,git.sr.ht,6
2024-04-24,awesome-neovim,github.com,841
2024-04-24,awesome-neovim,gitlab.com,2
2024-04-24,awesome-neovim,total,851
2024-04-24,extra,codeberg.org,2
2024-04-24,extra,git.sr.ht,5
2024-04-24,extra,github.com,538
2024-04-24,extra,gitlab.com,2
2024-04-24,extra,total,547
2024-04-24,nixpkgs,git.sr.ht,3
2024-04-24,nixpkgs,github.com,1429
2024-04-24,nixpkgs,gitlab.com,2
2024-04-24,nixpkgs,total,1434
2024-04-25,awesome-neovim,codeberg.org,2
2024-04-25,awesome-neovim,git.sr.ht,6
2024-04-25,awesome-neovim,github.com,842
2024-04-25,awesome-neovim,gitlab.com,2
2024-04-25,awesome-neovim,total,852
2024-04-25,extra,codeberg.org,2
2024-04-25,extra,git.sr.ht,5
2024-04-25,extra,github.com,538
2024-04-25,extra,gitlab.com,2
2024-04-25,extra,total,547
2024-04-25,nixpkgs,git.sr.ht,3
2024-04-25,nixpkgs,github.com,1430
2024-04-25,nixpkgs,gitlab.com,2
2024-04-25,nixpkgs,total,1435
2024-04-26,awesome-neovim,codeberg.org,2
2024-04-26,awesome-neovim,git.sr.ht,6
2024-04-26,awesome-neovim,github.com,843
2024-04-26,awesome-neovim,gitlab.com,2
2024-04-26,awesome-neovim,total,853
2024-04-26,extra,codeberg.org,2
2024-04-26,extra,git.sr.ht,5
2024-04-26,extra,github.com,539
2024-04-26,extra,gitlab.com,2
2024-04-26,extra,total,548
2024-04-26,nixpkgs,git.sr.ht,3
2024-04-26,nixpkgs,github.com,1430
2024-04-26,nixpkgs,gitlab.com,2
2024-04-26,nixpkgs,total,1435
2024-04-27,awesome-neovim,codeberg.org,2
2024-04-27,awesome-neovim,git.sr.ht,6
2024-04-27,awesome-neovim,github.com,843
2024-04-27,awesome-neovim,gitlab.com,2
2024-04-27,awesome-neovim,total,853
2024-04-27,extra,codeberg.org,2
2024-04-27,extra,git.sr.ht,5
2024-04-27,extra,github.com,539
2024-04-27,extra,gitlab.com,2
2024-04-27,extra,total,548
2024-04-27,nixpkgs,git.sr.ht,3
2024-04-27,nixpkgs,github.com,1431
2024-04-27,nixpkgs,gitlab.com,2
2024-04-27,nixpkgs,total,1436
2024-04-28,awesome-neovim,codeberg.org,2
2024-04-28,awesome-neovim,git.sr.ht,6
2024-04-28,awesome-neovim,github.com,843
2024-04-28,awesome-neovim,gitlab.com,2
2024-04-28,awesome-neovim,total,853
2024-04-28,extra,codeberg.org,2
2024-04-28,extra,git.sr.ht,5
2024-04-28,extra,github.com,539
2024-04-28,extra,gitlab.com,2
2024-04-28,extra,total,548
2024-04-28,nixpkgs,git.sr.ht,3
2024-04-28,nixpkgs,github.com,1431
2024-04-28,nixpkgs,gitlab.com,2
2024-04-28,nixpkgs,total,1436
2024-04-29,awesome-neovim,codeberg.org,2
2024-04-29,awesome-neovim,git.sr.ht,6
2024-04-29,awesome-neovim,github.com,843
2024-04-29,awesome-neovim,gitlab.com,2
2024-04-29,awesome-neovim,total,853
2024-04-29,extra,codeberg.org,2
2024-04-29,extra,git.sr.ht,5
2024-04-29,extra,github.com,539
2024-04-29,extra,gitlab.com,2
2024-04-29,extra,total,548
2024-04-29,nixpkgs,git.sr.ht,3
2024-04-29,nixpkgs,github.com,1431
2024-04-29,nixpkgs,gitlab.com,2
2024-04-29,nixpkgs,total,1436
2024-04-30,awesome-neovim,codeberg.org,2
2024-04-30,awesome-neovim,git.sr.ht,6
2024-04-30,awesome-neovim,github.com,844
